adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/7Zx3wDG5bBtcfk8lcnCWDOLM4Y4.jpg,"[10751, 35, 878]",552524,en,Lilo & Stitch,因家庭破碎而深感孤單的夏威夷「人類小女孩」莉蘿，與逃離邪惡主人並降臨地球的藍色外星人、卻有酷似無尾熊超可愛外表的史迪奇一拍即合，除了鬧出一連串與地球格格不入的笑話，也在彼此身上找到前所未有的友情與依靠，爆笑又感人的故事十分引人入勝！,605.7405,/1NVRlXL5VI4BZCpqQuuS4OB2CxD.jpg,2025-05-17,星際寶貝：史迪奇,False,7.049,472
False,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,四位邊緣人「垃圾人」蓋瑞森(傑森摩莫亞 飾)、亨利(賽巴斯汀尤金漢森 飾)、娜塔莉(愛瑪梅耶斯 飾)和譚恩(丹妮爾布魯克斯 飾)，突然被拉進一個神祕入口，進入充滿想像力又古怪的方塊仙境「主世界」中。為了回家，他們必須設法掌控這個世界，並與專業蓋房人史蒂夫(傑克布萊克 飾)，並一同踏上神奇的探索之旅。此趟冒險旅程將挑戰他們五人的勇氣，並重新激發他們每個人具有獨特創造力的特質，而這些正是他們返回現實世界成長茁壯所需的技能。,361.495,/otQo3B6uiUIlQ2OGsCgwG56tPA2.jpg,2025-03-31,MINECRAFT麥塊電影,False,6.491,1639
False,/eQV9rSQ6S1ja4lGTwHTnQuVhoG.jpg,"[27, 35, 14, 18]",1284120,no,Den stygge stesøsteren,艾爾維拉在一個美麗至上的王國中與她美麗的繼妹戰鬥。在殘酷的完美身材競爭中，她採取極端手段來擄獲王子的心。這是一個對經典《灰姑娘》故事的扭曲演繹。,168.613,/mk4vGUy03tUCgJsOuwkYy877RYo.jpg,2025-03-07,醜陋的繼妹,False,7.021,120
False,/rAgsOIhqRS6tUthmHoqnqh9PIAE.jpg,"[28, 35, 12]",436969,en,The Suicide Squad,歡迎來到地獄—全美死亡率最高的「美夢監獄」。那裡關押著最兇惡的超級反派，他們為了逃離該處願意付出任何代價，甚至不惜加入超級神祕又黑幕重重的X特遣隊。這次九死一生的任務是什麼呢？首先結集「血腥運動」、「和平使者」、「迴旋鏢隊長」、「捕鼠人2」、「智者」、「鯊魚王」、「黑色守衛」、「標槍」，以及大家最喜歡的精神病患「哈莉奎茵」等一幫罪犯，給他們配上最精良的重裝武器，再把他們扔…請注意真的是用扔的，到與世隔絕又布滿敵軍的柯多瑪堤小島。他們徒步穿越每個角落都藏滿敵對兵力和武裝傭兵的叢林，突擊隊員在瑞克佛萊格上校一人隨行並帶領管束下，執行著搜索及摧毀的任務…  阿曼達華勒的政府技工則從耳機裡提點監控，全程緊迫盯人。與往常一樣，他們只要踏錯一步就會屍骨無存（無論是死於敵方的手下、自己隊友的暗算，或是華勒的親自下令）。若真要下注賭個輸贏，明智的選擇絕對是押他們落敗，全軍覆沒。,165.7143,/slycPSgfMn6PgikBB5JUqUbH6xL.jpg,2021-07-28,自殺突擊隊：集結,False,7.5,8919
False,/aIglP9Z5gtkQf7Fidb4NRv2gfDj.jpg,"[16, 10751, 35]",11544,en,Lilo & Stitch,故事開始於強霸博士（Dr. Jumba Jookiba）的實驗，它製造了626個非法的基因實驗生物，因而遭到監禁。當強霸所製造的實驗生物正透過鋼圖艦長（Captain Gantu）運送到一個廢棄的星球時，626號實驗，一個外貌類似狗的生物逃離至了外太空，並前往地球。星際議長（The Grand Councilwoman）知道後，就派出了強霸博士和獨眼霹靂（Agent Pleakley）一起合作，前往地球捕捉626。626在太空船逃離的過程中墜落在夏威夷，雖然存活下來但是卻被一台卡車輾過而失去意識，於是被誤認為一種狗，送到了一家寵物店。,146.2247,/ygcJtMKvzznkw8gnl2lO6nmQf7s.jpg,2002-06-21,星際寶貝,False,7.55,6575
False,/8LjN496M9Mo0b5M6uvlVObz81bn.jpg,"[18, 35]",1417059,en,Mountainhead,一群億萬富翁好友在一場席捲全球的危機背景下聚首。,118.2741,/jAftwNlvYQBItiWPsvPK87KZNrz.jpg,2025-06-01,山之巔,False,5.628,39
False,/jmLfuMFn6o4Rkp7dzT57Vp2GpoQ.jpg,"[28, 18, 35]",897160,ko,용감한 시민,約聘教師市民（申惠善 飾）為了成為正式教師，而選擇對不義之事視而不見、假裝自己毫無脾氣，想裝弱小安靜度日。但某天，她卻目睹了無法無天的惡霸秀鋼（李濬榮 飾）越界的行為。市民無法再忍受不斷為非作歹的秀鋼，她下定決心要隱藏自己的身分，給秀鋼痛快的一擊……,101.8512,/eygBgVF2rJxMKkCWbvIl1qsViPl.jpg,2023-10-25,一拳鮮師：勇敢的市民,False,6.8,44
False,/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,影片敘述莫娜在與合作無間的毛伊展開浩瀚無際的冒險航程三年後，再度受到為她指路的祖先們召喚，令她必須展開一場遠渡大洋洲並深入前所未知的危險水域、迎向更勝以往的偉大冒險，並企圖聯繫四散汪洋的族人！,101.2628,/vyAk20KmD0GVp95ZcOgDkoXKq30.jpg,2024-11-21,海洋奇緣2,False,7.1,2431
False,/oJ1MIABA0WF0a7MDVQnnMvBdex8.jpg,"[27, 35]",567609,en,Ready or Not,葛雷絲（Samara Weaving  飾），嫁入一個以桌游發跡致富的豪門—拉多馬斯家族，但這個家族有個怪異的傳統，就是每當家族有新成員加入，他們必須參與家族的傳統遊戲，從一疊牌中抽出一張被指定的遊戲，而剛入豪門的葛雷絲完全在狀況外，直到新婚之夜，他的新婚丈夫艾利克斯（Mark O'Brien 飾）才告訴她這個傳統，面對這詭異的一家人，葛雷絲就在半推半就的情況下配合演出，萬萬沒想到自己抽中最可怕的「捉迷藏」遊戲，她需要在天亮前安靜躲在這豪宅某處不被發現，但遊戲並不如表面上看來單純，在遊戲開始沒多久後，葛蕾絲就驚恐地意識到，這是場致命的血腥獵殺遊戲，而她就是獵物。在生理與心理上都被推到極限的狀態下，葛蕾絲必須拿出渾身解數，她不只要存活下來，並且要全力反擊！,99.0007,/9Qy5H11LiW3SsbUz90apI13JuY1.jpg,2019-08-21,弒婚遊戲,False,7.0,4800
False,/z5caDtY3tn6rwbzB8iIA8PFCqYN.jpg,[35],1245165,es,Viaje de fin de curso: Mallorca,2021年，經歷一年的疫情封城後，一群學生前往馬約卡島畢業旅行。這個完美的計畫不僅要彌補那段不能出門的日子，還要盡情狂歡。然而，一場新冠疫情爆發，打亂了他們的計畫，迫使他們關在飯店裡。超過50個學生關在一家飯店，只有兩個老師，還有數不清的小冰箱。這會出什麼亂子呢？,96.0667,/ael4WoHPXlZPurqSr1JOQUZY5X3.jpg,2025-05-30,畢旅失控趴：疫起嗨翻天,False,5.5,20
False,/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,"[35, 10749]",1403735,te,లైలా,,95.3882,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,2025-02-14,లైలా,False,5.0,3
False,/youmOAJwM4XCoHAgeYNXACA7Buc.jpg,"[16, 12, 35, 10751]",676685,nl,Pandabeer in Afrika,不會功夫的小熊貓「胖寶」和小龍女「潔龍」是從小一起長大的好朋友，胖寶每天呆坐著啃竹子、偶爾滾動圓圓的屁股，快樂地度過每一天。而潔龍則正在飛行、噴火的學習階段。  某天，潔龍竟突然被來自非洲的壞蛋給綁架了。為了救回潔龍，胖寶離開家園踏上充滿危險與未知的道路，展開一場冒險！ 胖寶在猩猩船長的幫助下，漂洋過海終於來到了非洲，在這裡，他遇到了詐騙集團：小猴子啾啾以及黑心的鴕鳥老闆、無家可歸的鬣狗及老是被邪惡叔叔舉高高的小獅王艾德。胖寶在新朋友的幫助下，憑著不懈的努力一一化解各種難關，眼看距離成功只差最後一哩路，胖寶是否能順利帶潔龍一起回家呢？,95.269,/bv7Gg2diJtHkOA4NioPDKfvQnDw.jpg,2024-03-15,熊貓大冒險,False,6.3,42
False,/6QmX2BDVr1hIOIPHqnxvp1C1ZZp.jpg,"[35, 28, 80]",339846,en,Baywatch,一位致力奉獻於海灘的救護隊隊長米奇布坎南和一個新進成員從互看不順眼到合力打擊犯罪，維護這個海灘的未來的故事。,84.2863,/g3PCBkcvYdSk6xetq8yfnfbu909.jpg,2017-05-25,海灘救護隊,False,6.093,8196
False,/kEYWal656zP5Q2Tohm91aw6orlT.jpg,"[18, 35, 10749]",1064213,en,Anora,榮獲本屆坎城影展金棕櫚獎。一位來自布魯克林的年輕性工作者，她遇見了一位富豪的兒子並衝動地嫁給了他。當這個消息傳到俄羅斯時，她的童話故事將受到威脅，因為富豪父母決定前往紐約取消這段婚姻。,80.0833,/nxzha8L47GbECG3didOY3e3jnEs.jpg,2024-10-14,艾諾拉,False,7.1,2240
